scenario_id,split,source_path,city_name,selected_reason
00052803-b0e6-4d8a-8abe-d8870d7c4132,repair_train,train/00052803-b0e6-4d8a-8abe-d8870d7c4132/scenario_00052803-b0e6-4d8a-8abe-d8870d7c4132.parquet,unknown_until_loaded,repair_v1:training_remainder
000b1e10-20b6-4b6b-9d0b-9b000ca47c8c,repair_train,train/000b1e10-20b6-4b6b-9d0b-9b000ca47c8c/scenario_000b1e10-20b6-4b6b-9d0b-9b000ca47c8c.parquet,unknown_until_loaded,repair_v1:training_remainder
000bcc7d-7d21-4146-9dce-099fc5bf397f,repair_train,train/000bcc7d-7d21-4146-9dce-099fc5bf397f/scenario_000bcc7d-7d21-4146-9dce-099fc5bf397f.parquet,unknown_until_loaded,repair_v1:training_remainder
0011e48f-b0b9-44cb-9ed3-ea2c3c72b942,repair_train,train/0011e48f-b0b9-44cb-9ed3-ea2c3c72b942/scenario_0011e48f-b0b9-44cb-9ed3-ea2c3c72b942.parquet,unknown_until_loaded,repair_v1:training_remainder
00141832-b4e6-4e54-a706-9e04e59d72bd,repair_train,train/00141832-b4e6-4e54-a706-9e04e59d72bd/scenario_00141832-b4e6-4e54-a706-9e04e59d72bd.parquet,unknown_until_loaded,repair_v1:training_remainder
0016defc-2f2c-40f0-942b-8cc02b7826e9,repair_train,train/0016defc-2f2c-40f0-942b-8cc02b7826e9/scenario_0016defc-2f2c-40f0-942b-8cc02b7826e9.parquet,unknown_until_loaded,repair_v1:training_remainder
00196054-0318-42a5-914f-90329e805e48,repair_train,train/00196054-0318-42a5-914f-90329e805e48/scenario_00196054-0318-42a5-914f-90329e805e48.parquet,unknown_until_loaded,repair_v1:training_remainder
001c774f-fa98-4416-9d93-acccfdf48a0b,repair_train,train/001c774f-fa98-4416-9d93-acccfdf48a0b/scenario_001c774f-fa98-4416-9d93-acccfdf48a0b.parquet,unknown_until_loaded,repair_v1:training_remainder
001cbde0-dfca-40ff-ab9c-38230e96d03b,repair_train,train/001cbde0-dfca-40ff-ab9c-38230e96d03b/scenario_001cbde0-dfca-40ff-ab9c-38230e96d03b.parquet,unknown_until_loaded,repair_v1:training_remainder
001e9dea-8dac-4de8-a6e0-f6edbaee4185,repair_train,train/001e9dea-8dac-4de8-a6e0-f6edbaee4185/scenario_001e9dea-8dac-4de8-a6e0-f6edbaee4185.parquet,unknown_until_loaded,repair_v1:training_remainder
001ea666-d52b-45e2-bd04-2ccdd302fd11,repair_dev,train/001ea666-d52b-45e2-bd04-2ccdd302fd11/scenario_001ea666-d52b-45e2-bd04-2ccdd302fd11.parquet,unknown_until_loaded,repair_v1:heldout_ability
001ed3c2-c624-4913-9a72-74198e8167f3,repair_dev,train/001ed3c2-c624-4913-9a72-74198e8167f3/scenario_001ed3c2-c624-4913-9a72-74198e8167f3.parquet,unknown_until_loaded,repair_v1:heldout_ability
0020e5ed-d537-49ea-984d-bd7a1adf060d,repair_dev,train/0020e5ed-d537-49ea-984d-bd7a1adf060d/scenario_0020e5ed-d537-49ea-984d-bd7a1adf060d.parquet,unknown_until_loaded,repair_v1:heldout_ability
0022bae4-a387-473a-8028-5c011978ecb7,repair_train,train/0022bae4-a387-473a-8028-5c011978ecb7/scenario_0022bae4-a387-473a-8028-5c011978ecb7.parquet,unknown_until_loaded,repair_v1:training_remainder
00230624-044b-4bb0-86fb-c3214060a7b8,repair_train,train/00230624-044b-4bb0-86fb-c3214060a7b8/scenario_00230624-044b-4bb0-86fb-c3214060a7b8.parquet,unknown_until_loaded,repair_v1:training_remainder
00231197-563e-42ea-bad9-68138e4f3876,repair_train,train/00231197-563e-42ea-bad9-68138e4f3876/scenario_00231197-563e-42ea-bad9-68138e4f3876.parquet,unknown_until_loaded,repair_v1:training_remainder
002394fe-7cfd-4236-b912-43f6a83e26df,repair_train,train/002394fe-7cfd-4236-b912-43f6a83e26df/scenario_002394fe-7cfd-4236-b912-43f6a83e26df.parquet,unknown_until_loaded,repair_v1:training_remainder
0027cf63-f930-4b53-92de-45cef5e886df,repair_train,train/0027cf63-f930-4b53-92de-45cef5e886df/scenario_0027cf63-f930-4b53-92de-45cef5e886df.parquet,unknown_until_loaded,repair_v1:training_remainder
00290df2-dbfa-419a-8200-4569a408bbf3,repair_train,train/00290df2-dbfa-419a-8200-4569a408bbf3/scenario_00290df2-dbfa-419a-8200-4569a408bbf3.parquet,unknown_until_loaded,repair_v1:training_remainder
002cfc79-a463-4eff-9d80-1bd0eba5c8f5,repair_dev,train/002cfc79-a463-4eff-9d80-1bd0eba5c8f5/scenario_002cfc79-a463-4eff-9d80-1bd0eba5c8f5.parquet,unknown_until_loaded,repair_v1:background_topup_no_positive
0030993d-1b01-4797-81e6-ab8abc4decf9,repair_train,train/0030993d-1b01-4797-81e6-ab8abc4decf9/scenario_0030993d-1b01-4797-81e6-ab8abc4decf9.parquet,unknown_until_loaded,repair_v1:training_remainder
0033294e-8be0-4b89-a310-d739fd58db6a,repair_train,train/0033294e-8be0-4b89-a310-d739fd58db6a/scenario_0033294e-8be0-4b89-a310-d739fd58db6a.parquet,unknown_until_loaded,repair_v1:training_remainder
00335024-91c9-440d-8151-4d1a838a6a2d,repair_dev,train/00335024-91c9-440d-8151-4d1a838a6a2d/scenario_00335024-91c9-440d-8151-4d1a838a6a2d.parquet,unknown_until_loaded,repair_v1:background_topup_no_positive
